Unnamed: 0,Language,Party,Post,Username,prediction
2435,en,BJP,Politician,AshwaniSBJP,0
2792,pa,AAP,Political Leader,BhagwantMann,0
2440,pa,BJP,Politician,AshwaniSBJP,0
2568,pa,Sanyukt Samaj Morcha Party,Political Leader,BRajewal,0
2795,pa,AAP,Political Leader,BhagwantMann,0
2696,pa,AAP,Political Leader,BhagwantMann,2
2667,pa,AAP,Political Leader,BhagwantMann,2
2539,pa,SAD,Politician,bsmajithia,0
2411,pa,BJP,Politician,AshwaniSBJP,0
2283,mr,INC,Politician,altone_d,0
2312,gu,BJP,Politician,AmitShah,1
2285,other,AAP,Politician,AmitPalekar10,2
2794,pa,AAP,Political Leader,BhagwantMann,0
2666,pa,AAP,Political Leader,BhagwantMann,0
2538,pa,SAD,Politician,bsmajithia,0
2410,pa,BJP,Politician,AshwaniSBJP,0
2282,other,INC,Politician,AleixoASequeira,2
2664,pa,AAP,Political Leader,BhagwantMann,0
2790,pa,AAP,Political Leader,BhagwantMann,0
2314,gu,BJP,Politician,AmitShah,0
2662,pa,AAP,Political Leader,BhagwantMann,0
2534,pa,SAD,Politician,bsmajithia,0
2442,en,BJP,Politician,AshwaniSBJP,0
2406,pa,BJP,Politician,AshwaniSBJP,0
2278,en,SP,Political Leader,yadavakhilesh,0
103,gu,AAP,Party Handle,AamAadmiParty,2
2570,pa,Sanyukt Samaj Morcha Party,Political Leader,BRajewal,0
2536,pa,SAD,Politician,bsmajithia,0
2408,pa,BJP,Politician,AshwaniSBJP,0
2280,en,SP,Political Leader,yadavakhilesh,2
2315,gu,BJP,Politician,AmitShah,0
2443,pa,BJP,Politician,AshwaniSBJP,1
2571,pa,Sanyukt Samaj Morcha Party,Political Leader,BRajewal,2
2699,pa,AAP,Political Leader,BhagwantMann,0
2793,pa,AAP,Political Leader,BhagwantMann,0
2665,pa,AAP,Political Leader,BhagwantMann,2
2537,pa,SAD,Politician,bsmajithia,0
2409,pa,BJP,Politician,AshwaniSBJP,0
2281,en,SP,Political Leader,yadavakhilesh,0
2413,pa,BJP,Politician,AshwaniSBJP,2
2541,pa,SAD,Politician,bsmajithia,0
2545,pa,SAD,Politician,officeofssbadal,0
2417,pa,BJP,Politician,AshwaniSBJP,0
2289,other,AAP,Politician,AmitPalekar10,2
2798,pa,AAP,Political Leader,BhagwantMann,0
2670,pa,AAP,Political Leader,BhagwantMann,0
2542,pa,SAD,Politician,bsmajithia,0
2414,pa,BJP,Politician,AshwaniSBJP,0
2286,other,AAP,Politician,AmitPalekar10,1
2673,pa,AAP,Political Leader,BhagwantMann,0
2416,pa,BJP,Politician,AshwaniSBJP,2
2672,pa,AAP,Political Leader,BhagwantMann,0
2544,pa,SAD,Politician,officeofssbadal,0
2695,pa,AAP,Political Leader,BhagwantMann,2
2288,other,AAP,Politician,AmitPalekar10,1
2311,gu,BJP,Politician,AmitShah,0
2439,pa,BJP,Politician,AshwaniSBJP,0
2567,pa,SAD,Politician,officeofssbadal,0
2310,gu,BJP,Politician,AmitShah,0
2668,pa,AAP,Political Leader,BhagwantMann,2
2540,pa,SAD,Politician,bsmajithia,0
2412,pa,BJP,Politician,AshwaniSBJP,2
2284,other,AAP,Politician,AmitPalekar10,2
2796,pa,AAP,Political Leader,BhagwantMann,0
2313,gu,BJP,Politician,AmitShah,0
2441,pa,BJP,Politician,AshwaniSBJP,0
2569,pa,Sanyukt Samaj Morcha Party,Political Leader,BRajewal,0
2797,pa,AAP,Political Leader,BhagwantMann,0
2669,pa,AAP,Political Leader,BhagwantMann,0
2697,pa,AAP,Political Leader,BhagwantMann,0
2543,pa,SAD,Politician,officeofssbadal,0
2438,pa,BJP,Politician,AshwaniSBJP,2
2566,pa,SAD,Politician,officeofssbadal,0
2694,pa,AAP,Political Leader,BhagwantMann,2
2799,pa,AAP,Political Leader,BhagwantMann,2
2671,pa,AAP,Political Leader,BhagwantMann,0
2415,pa,BJP,Politician,AshwaniSBJP,0
2287,other,AAP,Politician,AmitPalekar10,0
2324,pa,BJP,Politician,AmitShah,0
2362,pa,BJP,Politician,AmitShah,0
2234,hi,SP,Political Leader,yadavakhilesh,2
2211,hi,INC,Politician,AjayLalluINC,2
2339,pa,BJP,Politician,AmitShah,0
2747,pa,AAP,Political Leader,BhagwantMann,0
2619,pa,AAP,Political Leader,BhagwantMann,0
2467,en,AIMIM,Political Leader,asadowaisi,0
2491,en,SP,Politician,imashumalik,0
2363,pa,BJP,Politician,AmitShah,0
2595,pa,AAP,Political Leader,BhagwantMann,0
2235,hi,SP,Political Leader,yadavakhilesh,2
2490,en,SP,Politician,imashumalik,0
2618,pa,AAP,Political Leader,BhagwantMann,0
2746,pa,AAP,Political Leader,BhagwantMann,0
161,hi,BJP,Party Handle,BJP4India,0
2336,pa,BJP,Politician,AmitShah,0
2749,pa,AAP,Political Leader,BhagwantMann,0
2621,pa,AAP,Political Leader,BhagwantMann,0
2464,other,AIMIM,Political Leader,asadowaisi,0
2493,en,SP,Politician,imashumalik,0
2365,pa,BJP,Politician,AmitShah,0
2237,hi,SP,Political Leader,yadavakhilesh,1
2592,pa,AAP,Political Leader,BhagwantMann,0
2720,pa,AAP,Political Leader,BhagwantMann,0
2723,pa,AAP,Political Leader,BhagwantMann,0
2722,pa,AAP,Political Leader,BhagwantMann,2
2361,gu,BJP,Politician,AmitShah,0
2233,hi,SP,Political Leader,yadavakhilesh,1
184,en,INC,Party Handle,INCIndia,2
2742,pa,AAP,Political Leader,BhagwantMann,2
2614,pa,AAP,Political Leader,BhagwantMann,0
2486,hi,AIMIM,Political Leader,asadowaisi,0
2358,other,BJP,Politician,AmitShah,2
2230,other,INC,Politician,AjayLalluINC,0
2489,en,SP,Politician,imashumalik,0
2617,pa,AAP,Political Leader,BhagwantMann,2
2594,pa,AAP,Political Leader,BhagwantMann,0
2745,pa,AAP,Political Leader,BhagwantMann,0
2744,pa,AAP,Political Leader,BhagwantMann,0
2616,pa,AAP,Political Leader,BhagwantMann,0
2488,en,SP,Politician,imashumalik,0
2360,other,BJP,Politician,AmitShah,2
2232,hi,SP,Political Leader,yadavakhilesh,0
2210,hi,AAP,Politician,ColAjayKothiyal,0
163,mr,BJP,Party Handle,BJP4India,0
2338,pa,BJP,Politician,AmitShah,0
2466,hi,AIMIM,Political Leader,asadowaisi,0
2496,en,SP,Politician,imashumalik,0
2368,bn,BJP,Politician,AmitShah,2
2240,hi,SP,Political Leader,yadavakhilesh,1
2241,hi,SP,Political Leader,yadavakhilesh,2
2753,pa,AAP,Political Leader,BhagwantMann,0
2625,pa,AAP,Political Leader,BhagwantMann,0
